,Name,Year,Starring,Rating,Critc Consensus
0,Invincible: Season 2,(2023),"Starring: Steven Yeun, J.K. Simmons, Sandra Oh, Seth Rogen",100,"Critics Consensus: Still as bracing as a punch to the face and invigorating with its vivid worldbuilding, Invincible is practically impervious to disappointing audiences in this sterling sophomore season."
1,Reservation Dogs: Season 3,(2023),"Starring: D'Pharaoh Woon-A-Tai, Devery Jacobs, Paulina Alexis, Lane Factor",100,"Critics Consensus: Bowing out while still having plenty of creativity to spare, Reservation Dogs' final season sidesteps feeling premature by satisfying on every level."
2,Reacher: Season 2,(2023),"Starring: Alan Ritchson, Willa Fitzgerald, Malcolm Goodwin, Marc Bendavid",98,"Critics Consensus: Brawny as Alan Ritchson's biceps, Reacher swaggers confidently into its sophomore season as rock 'em sock 'em pulp with a sly wink."
3,Happy Valley: Season 3,(2023),"Starring: Sarah Lancashire, James Norton, Siobhan Finneran, George Costigan",100,"Critics Consensus: Full of highs and with nary a low, Happy Valley returns at the peak of its hardscrabble powers, with Sarah Lancashire seamlessly slipping back into her quintessential role for one final mystery."
4,A Small Light: Limited Series,(2023),"Starring: Bel Powley, Liev Schreiber, Joe Cole, Amira Casar",100,"Critics Consensus: Bel Powley's arresting performance burns bright in A Small Light, a sensitive portrait of heroism in the face of all-encompassing tragedy."
5,Colin from Accounts: Season 1,(2022),"Starring: Patrick Brammall, Harriet Dyer",100,"Critics Consensus: Tonally elastic and blessed with Patrick Brammall and Harriet Dyer's sparky chemistry, Colin from Accounts makes the alchemy of a satisfying rom-com feel effortless."
6,Foundation: Season 2,(2023),"Starring: Jared Harris, Lee Pace, Lou Llobell, Leah Harvey",100,"Critics Consensus: With its complicated bedrock now established, Foundation spreads its wings in an improved sophomore season that rewards viewers' patience with a brainy sci-fi epic of genuine grandeur."
7,Drops of God: Season 1,(2023),"Starring: Fleur Geffrier, Tomohisa Yamashita, Stanley Weber, Tom Wozniczka",100,"Critics Consensus: A saga of cutthroat competition with notes of cool intelligence, Drops of God is a sleek entertainment sure to stimulate refined palates."
8,Cunk on Earth: Season 1,(2022),Starring: Diane Morgan,100,"Critics Consensus: Diane Morgan feigns dopiness with ingenious comedic timing in Cunk on Earth, a gut-busting sendup of anthropological documentaries."
9,The Other Two: Season 3,(2023),"Starring: Drew Tarver, Heléne Yorke, Case Walker, Ken Marino",100,"Critics Consensus: The elder Dubek siblings may still feel like they're also-rans, but The Other Two remains cream of the crop in a third season that turns foiled dreams into delightful comedy."
